Name,acetic acid,acetone,acetonitrile,benzene,n -butanol,butyl acetate,carbon tetrachloride,chloroform,cyclohexane,"1,2-dichloroethane",dichloromethane,dimethylformamide,dimethyl sulfoxide,dioxane,ethanol,ethyl acetate,diethyl ether,heptane,hexane,methanol,methyl-t -butyl ether,2-butanone,pentane,n -propanol,isopropanol,diisopropyl ether,tetrahydrofuran,toluene,trichloroethylene,water,xylene
acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetone,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetonitrile,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzene,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n -butanol,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
butyl acetate,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
carbon tetrachloride,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
chloroform,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
cyclohexane,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
"1,2-dichloroethane",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
dichloromethane,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
dimethylformamide,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,
dimethyl sulfoxide,1,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,
dioxane,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
ethanol,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
ethyl acetate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
diethyl ether,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,,,
heptane,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,
hexane,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,,,,,,,,,,,,,
methanol,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,
methyl-t -butyl ether,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
2-butanone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
pentane,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,,,,,,,,,
n -propanol,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
isopropanol,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
diisopropyl ether,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
tetrahydrofuran,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
toluene,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
trichloroethylene,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
water,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,,
xylene,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
